Id,SalePrice
1461,117193.30583035565
1462,157548.60657728216
1463,167105.27688285703
1464,195474.1125967298
1465,184910.20366150915
1466,171424.99618248251
1467,189015.78849209432
1468,165086.6708148984
1469,185707.73082764348
1470,116895.72524392749
1471,186165.75307309852
1472,108450.06553312189
1473,100494.80762583329
1474,148819.5908737719
1475,118315.51786299789
1476,346542.6202187432
1477,237751.0320613373
1478,292342.1563447731
1479,277837.0516615763
1480,481605.6756254847
1481,294819.83890414034
1482,200959.58974169625
1483,174384.80561121285
1484,165519.68567692456
1485,194668.1623694938
1486,198568.51131016968
1487,315188.81874923524
1488,238782.19885451254
1489,185626.1473262537
1490,232884.89802008733
1491,195199.88965557257
1492,91748.1674585576
1493,196148.41663516127
1494,289200.9323532938
1495,271632.68293013785
1496,224515.9342377322
1497,169233.6494822194
1498,160748.4808749148
1499,155936.24992641647
1500,158540.73999354706
1501,170018.95667217008
1502,155593.03528457513
1503,279808.68689186405
1504,248142.34703101096
1505,226371.69757348363
1506,198634.38179211988
1507,240020.84596958477
1508,192669.4829407069
1509,152871.12977966078
1510,136222.91984319405
1511,146025.2471936788
1512,176672.32497009242
1513,149703.47944824924
1514,143689.06383176634
1515,187922.49457797335
1516,146528.65975514054
1517,164304.2637012086
1518,133606.73240200768
1519,207869.6365525979
1520,126645.16721347702
1521,122230.358549196
1522,179695.2158337508
1523,102783.1409268695
1524,121956.81194897906
1525,108998.20320982288
1526,100297.06531300468
1527,102395.67298169565
1528,149465.9081630909
1529,140637.51808245826
1530,203647.6819924395
1531,114970.86480148965
1532,106344.698550797
1533,165476.558011607
1534,129644.97459418951
1535,146729.0900528486
1536,112976.16321917622
1537,56727.66447658923
1538,140974.10456234476
1539,193806.94102064843
1540,86700.72040906752
1541,133869.07704921285
1542,132566.61740167622
1543,167748.66844771962
1544,89574.70585851044
1545,103628.72764500539
1546,133747.59582324905
1547,127726.71336871208
1548,127113.33266840824
1549,114868.28905082794
1550,122718.89262483401
1551,119956.80405972272
1552,129950.45822455281
1553,137754.9307449993
1554,125699.87137313705
1555,154267.03658597087
1556,89015.28296382789
1557,90049.9539201078
1558,106161.12052553447
1559,74310.84362033792
1560,132474.98209474437
1561,119119.42102432459
1562,138010.1397258754
1563,118215.86975184786
1564,158890.1868693668
1565,131030.67841606842
1566,232374.13543160417
1567,79273.64986554245
1568,233043.79341415607
1569,122675.91180474786
1570,147199.50043450753
1571,119142.61940889673
1572,143733.8807816712
1573,231259.02467679768
1574,112406.78492492971
1575,220294.3688229597
1576,247660.87381935166
1577,180514.53154626215
1578,134451.75957174296
1579,129655.30667639775
1580,198147.82684565126
1581,157459.75816486188
1582,126335.82624305524
1583,294511.25710832526
1584,222878.74598026086
1585,142490.72029951308
1586,71776.4482484678
1587,100088.56138482322
1588,144775.85503358766
1589,92532.20398973934
1590,140422.56125634562
1591,91364.37407286183
1592,121919.90427277342
1593,133817.66047651877
1594,125143.14466362046
1595,98736.81757279302
1596,195372.9129621131
1597,161125.78401001173
1598,196667.20074644755
1599,176378.23059537276
1600,171844.22259885728
1601,67807.23600009969
1602,118164.90798954807
1603,76919.0743653565
1604,253089.91759071423
1605,245726.90421463843
1606,171671.86176190557
1607,185929.03432903741
1608,226198.5896294471
1609,183929.21738451187
1610,149977.36045355062
1611,135971.79786618924
1612,171172.5219921257
1613,170177.45500064362
1614,139842.5942850386
1615,99401.83312372996
1616,82749.70682006642
1617,97052.73442170564
1618,124226.99628971468
1619,143739.590978223
1620,150684.9155706935
1621,130203.38461088185
1622,151140.03353373468
1623,259369.1019607014
1624,202596.43887513765
1625,113873.88722552275
1626,174684.56153915572
1627,188919.32870396893
1628,274929.3242839331
1629,173309.6828321089
1630,316791.8144599433
1631,214345.55678685318
1632,217054.36742781362
1633,179384.71794867096
1634,186460.00677109812
1635,183168.01212751228
1636,160303.42335576113
1637,197392.07120334968
1638,191986.2761235219
1639,186152.5488215985
1640,265241.0080360234
1641,181876.73322559407
1642,235853.48592576088
1643,232169.1602757367
1644,224863.34505825274
